Process Time,Src IP,Src Port,Dst IP,Dst Port,Protocol,Total Fwd Pkts,Total Fwd Vol,Total Bwd Pkts,Total Bwd Vol,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Max,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Std,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Max,Fwd IAT Std,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Max,Bwd IAT Std,Duration,Active Min,Active Mean,Active Max,Active Std,Idle Min,Idle Mean,Idle Max,Idle Std,SFlow Fwd Pkts,SFlow Fwd Bytes,SFlow Bwd Pkts,SFlow bwd Bytes,FPSH Count,BPSH Count,FURG Count,BURG Count,Total FHLen,Total BHLen,Previous Flow Time,DSCP,
2024-02-06 14:52:40.982312 +0000 UTC,10.126.112.48,49034,104.18.40.148,443,6,47,4463,45,124704,52,94,714,111,52,2771,8740,3212,4000,15484627,145142000,32077436,1165000,14776878,161679000,40711002,171207419000,13161000,166459750,617902000,300972741,52702791000,56847193333,59281720000,-9223372036854775808,11,1115,11,31176,15,37,0,0,2452,2348,0,0
2024-02-06 14:55:26.204062 +0000 UTC,10.126.112.48,56494,81.169.152.96,443,6,14,2088,14,5894,52,149,726,183,52,421,3042,845,9000,17553750,49294000,20876288,1000,17553250,47535000,21317375,7324286000,26258000,127147500,228037000,142679299,7069991000,7069991000,7069991000,0,7,1044,7,2947,7,7,0,0,748,736,0,0
2024-02-06 14:55:43.926644 +0000 UTC,10.126.112.48,41972,13.107.5.93,443,6,8,1573,9,6174,40,196,574,231,40,686,4123,1366,399000,17977142,37498000,15850648,1000,15671125,30959000,14379581,152518000,152518000,152518000,152518000,0,0,0,0,0,8,1573,9,6174,4,3,0,0,340,372,0,0
2024-02-06 14:52:24.351247 +0000 UTC,10.126.112.48,44618,82.196.8.151,443,6,26,3149,23,53516,52,121,699,138,52,2326,10993,3192,9000,39692476,459562000,98303141,0,35109833,459486000,106828091,202059793000,29088000,166708400,666045000,279879011,31093351000,50306562750,58696677000,-9223372036854775808,5,629,4,10703,12,11,0,0,1360,1204,30000,0
2024-02-06 14:56:20.147819 +0000 UTC,10.126.112.48,38514,142.250.187.202,443,6,17,3079,14,7883,52,181,1297,340,52,563,2852,828,3000,4593562,29167000,9263859,1000,4083692,27674000,9109448,73497000,73497000,73497000,73497000,0,0,0,0,0,17,3079,14,7883,6,9,0,0,892,736,152619462000,0
2024-02-06 14:54:07.267797 +0000 UTC,10.126.112.48,57138,142.250.200.35,80,6,21,1936,19,2398,52,92,470,125,52,126,753,220,136000,110555000,401249000,149495784,19939000,148571500,395978000,168157491,136147470000,15405000,63212200,502879000,125124660,4028241000,9657091928,10215564000,-9223372036854775808,1,129,1,159,2,2,0,0,1100,996,0,32
2024-02-06 14:56:23.212029 +0000 UTC,10.126.112.48,42738,20.189.173.15,443,6,10,3445,7,5529,52,344,1905,588,52,789,4582,1678,57000,101607875,242037000,108919885,1000,151521200,205027000,86218294,3189508000,167229000,490017500,812806000,456491874,2209473000,2209473000,2209473000,0,5,1722,3,2764,4,4,0,0,528,372,0,0
2024-02-06 14:54:06.724777 +0000 UTC,10.126.112.48,58498,18.165.160.59,443,6,174,18693,148,719235,52,107,718,91,52,4859,17188,4971,5000,12828207,287971000,40089002,0,13719741,233514000,41348866,184819971000,16533000,433593400,1133422000,554979760,12247064000,45663001000,59732638000,-9223372036854775808,34,3738,29,143847,71,117,0,0,9092,7704,0,0
2024-02-06 14:54:21.927829 +0000 UTC,10.126.112.48,46340,18.165.160.77,443,6,140,8621,143,1617691,52,61,718,62,52,11312,42892,8857,4000,2260955,64270000,6525016,0,1336280,22236000,2750051,170619059000,18669000,76872500,202642000,86381757,53365239000,56770523000,58726207000,-9223372036854775808,35,2155,35,404422,9,116,0,0,7288,7444,0,0
2024-02-06 14:54:27.238685 +0000 UTC,10.126.112.48,38076,2.17.113.9,80,6,24,2086,22,2929,52,86,467,117,52,133,941,261,181000,11535800,16243000,6604065,601000,4967666,12095000,6224465,174344484000,12577000,19788315,63140000,10932115,4604418000,9664917000,10176860000,-9223372036854775808,1,109,1,154,2,2,0,0,1256,1152,0,0
2024-02-06 14:54:38.610471 +0000 UTC,10.126.112.48,46456,142.250.180.3,443,6,29,3068,25,38486,52,105,717,137,52,1539,2852,1266,6000,8332680,43291000,12320934,1000,3618761,23454000,6815335,171085330000,19464000,52079250,134627000,55195890,53949668000,56959004333,58534818000,-9223372036854775808,7,767,6,9621,11,19,0,0,1516,1308,0,0
2024-02-06 14:54:45.442729 +0000 UTC,10.126.112.48,60012,18.165.160.118,443,6,31,3816,24,28320,52,123,718,139,52,1180,4336,1517,12000,10544074,106581000,22613078,0,8843750,71067000,18581959,170255720000,13303000,71172500,195068000,85035986,53727958000,56657010000,58185379000,-9223372036854775808,7,954,6,7080,15,17,0,0,1620,1256,62409000,0
